cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3460,2025-W46,GOOD,2025-11-13 10:09:21,2025-11-13 10:09:52,LONG,25430.5,25440.5,REVERSAL,0,1,40.0,196.5,828,40.0,7.0,4
3461,2025-W46,GOOD,2025-11-13 10:12:03,2025-11-13 10:12:36,SHORT,25435.25,25455.5,HARD_STOP,1,2,-121.0,-612.0,1276,25.0,60.5,6
3462,2025-W46,GOOD,2025-11-13 10:15:53,2025-11-13 10:16:35,SHORT,25474.75,25494.75,HARD_STOP,1,2,-120.0,-607.0,1782,17.0,60.0,8
3463,2025-W46,GOOD,2025-11-13 10:17:18,2025-11-13 10:18:19,LONG,25464.0,25465.0,REVERSAL,1,2,48.0,233.0,2408,24.0,49.0,10
3464,2025-W46,GOOD,2025-11-13 10:18:46,2025-11-13 10:19:12,LONG,25449.0,25459.0,REVERSAL,0,1,40.0,196.5,596,40.0,10.0,3
3465,2025-W46,GOOD,2025-11-13 10:22:10,2025-11-13 10:23:09,LONG,25412.25,25392.25,HARD_STOP,1,2,-120.0,-607.0,2042,22.0,60.0,9
3466,2025-W46,GOOD,2025-11-13 10:23:39,2025-11-13 10:23:45,SHORT,25411.75,25401.5,REVERSAL,0,1,41.0,201.5,266,41.0,5.0,2
3467,2025-W46,GOOD,2025-11-13 10:24:31,2025-11-13 10:24:44,SHORT,25418.25,25408.25,REVERSAL,0,1,40.0,196.5,494,40.0,20.0,2
3468,2025-W46,GOOD,2025-11-13 10:28:17,2025-11-13 10:28:41,LONG,25373.5,25383.5,REVERSAL,0,1,40.0,196.5,548,40.0,11.0,3
3469,2025-W46,GOOD,2025-11-13 10:30:02,2025-11-13 10:31:31,LONG,25380.25,25380.25,REVERSAL,1,2,40.0,193.0,1827,24.0,40.0,8
3470,2025-W46,GOOD,2025-11-13 10:34:40,2025-11-13 10:35:06,LONG,25319.0,25329.0,REVERSAL,0,1,40.0,196.5,965,40.0,15.0,4
3471,2025-W46,GOOD,2025-11-13 10:35:50,2025-11-13 10:36:34,SHORT,25333.75,25323.75,REVERSAL,0,1,40.0,196.5,1508,40.0,29.0,7
3472,2025-W46,GOOD,2025-11-13 10:36:57,2025-11-13 10:37:05,SHORT,25337.25,25327.25,REVERSAL,0,1,40.0,196.5,209,40.0,2.0,1
3473,2025-W46,GOOD,2025-11-13 10:37:05,2025-11-13 10:37:39,LONG,25327.25,25307.25,HARD_STOP,1,2,-120.0,-607.0,977,9.0,60.0,5
3474,2025-W46,GOOD,2025-11-13 10:38:38,2025-11-13 10:39:00,LONG,25296.0,25306.0,REVERSAL,0,1,40.0,196.5,596,40.0,6.0,3
3475,2025-W46,GOOD,2025-11-13 10:40:15,2025-11-13 10:40:44,LONG,25310.25,25320.5,REVERSAL,0,1,41.0,201.5,615,41.0,7.0,3
3476,2025-W46,GOOD,2025-11-13 10:41:02,2025-11-13 10:41:10,SHORT,25332.75,25322.75,REVERSAL,0,1,40.0,196.5,300,40.0,12.0,2
3477,2025-W46,GOOD,2025-11-13 10:41:25,2025-11-13 10:42:22,LONG,25308.75,25318.75,REVERSAL,0,1,40.0,196.5,1153,40.0,24.0,5
3478,2025-W46,GOOD,2025-11-13 10:43:11,2025-11-13 10:43:24,LONG,25292.5,25302.5,REVERSAL,0,1,40.0,196.5,338,40.0,1.0,2
